State,Ugrad,Prof,Grad,Total
Alabama,8,0,23,31
Alaska,0,0,9,9
Arizona,46,6,93,145
Arkansas,6,0,16,22
California,1222,85,1094,2401
Colorado,34,11,102,147
Connecticut,32,9,65,106
Delaware,9,0,14,23
District of Columbia,4,1,31,36
Florida,99,30,215,344
Georgia,73,17,139,229
Guam,3,0,1,4
Hawaii,4,1,13,18
Idaho,5,1,20,26
Illinois,23731,549,4391,28671
Indiana,56,30,141,227
Iowa,25,5,71,101
Kansas,25,6,40,71
Kentucky,20,5,31,56
Louisiana,8,4,25,37
Maine,2,1,14,17
Maryland,66,10,120,196
Massachusetts,111,13,112,236
Michigan,62,41,230,333
Minnesota,45,10,143,198
Mississippi,6,0,8,14
Missouri,108,25,120,253
Montana,3,1,4,8
Nebraska,13,1,23,37
Nevada,10,0,46,56
New Hampshire,7,3,18,28
New Jersey,364,15,219,598
New Mexico,8,1,35,44
New York,168,24,262,454
North Carolina,56,6,119,181
North Dakota,1,1,3,5
Northern Mariana Islands,0,0,2,2
Ohio,78,40,205,323
Oklahoma,8,0,41,49
Oregon,37,1,59,97
Pennsylvania,85,18,179,282
Puerto Rico,1,2,24,27
Rhode Island,8,2,11,21
South Carolina,3,3,35,41
South Dakota,1,0,7,8
Tennessee,39,6,94,139
Texas,219,33,445,697
Utah,6,7,41,54
Vermont,1,0,5,6
Virginia,157,14,176,347
Washington,131,9,195,335
West Virginia,6,1,7,14
Wisconsin,53,14,128,195
Wyoming,0,0,2,2
Military,3,0,4,7
Other Countries,5168,57,7524,12749
Unknown,742,148,1624,2514
